date,line_number,metric_abb,metric,value,year
2021-03-01,1,total,Total,13700,2021
2021-03-01,1,mdu,Média dos Dias Úteis,548,2021
2021-03-01,1,msa,Média dos Sábados,282,2021
2021-03-01,1,mdo,Média dos Domingos,149,2021
2021-03-01,1,max,Máxima Diária,721,2021
2021-03-01,2,total,Total,7496,2021
2021-03-01,2,mdu,Média dos Dias Úteis,308,2021
2021-03-01,2,msa,Média dos Sábados,136,2021
2021-03-01,2,mdo,Média dos Domingos,73,2021
2021-03-01,2,max,Máxima Diária,386,2021
2021-03-01,3,total,Total,14996,2021
2021-03-01,3,mdu,Média dos Dias Úteis,599,2021
2021-03-01,3,msa,Média dos Sábados,310,2021
2021-03-01,3,mdo,Média dos Domingos,172,2021
2021-03-01,3,max,Máxima Diária,779,2021
2021-03-01,15,total,Total,1457,2021
2021-03-01,15,mdu,Média dos Dias Úteis,58,2021
2021-03-01,15,msa,Média dos Sábados,30,2021
2021-03-01,15,mdo,Média dos Domingos,16,2021
2021-03-01,15,max,Máxima Diária,69,2021
2021-03-01,NA,total,Total,35077,2021
2021-03-01,NA,mdu,Média dos Dias Úteis,1465,2021
2021-03-01,NA,msa,Média dos Sábados,796,2021
2021-03-01,NA,mdo,Média dos Domingos,446,2021
2021-03-01,NA,max,Máxima Diária,1678,2021
2021-04-01,1,total,Total,12800,2021
2021-04-01,1,mdu,Média dos Dias Úteis,532,2021
2021-04-01,1,msa,Média dos Sábados,299,2021
2021-04-01,1,mdo,Média dos Domingos,163,2021
2021-04-01,1,max,Máxima Diária,613,2021
2021-04-01,2,total,Total,6979,2021
2021-04-01,2,mdu,Média dos Dias Úteis,297,2021
2021-04-01,2,msa,Média dos Sábados,143,2021
2021-04-01,2,mdo,Média dos Domingos,83,2021
2021-04-01,2,max,Máxima Diária,338,2021
2021-04-01,3,total,Total,13943,2021
2021-04-01,3,mdu,Média dos Dias Úteis,578,2021
2021-04-01,3,msa,Média dos Sábados,323,2021
2021-04-01,3,mdo,Média dos Domingos,184,2021
2021-04-01,3,max,Máxima Diária,664,2021
2021-04-01,15,total,Total,1355,2021
2021-04-01,15,mdu,Média dos Dias Úteis,57,2021
2021-04-01,15,msa,Média dos Sábados,31,2021
2021-04-01,15,mdo,Média dos Domingos,17,2021
2021-04-01,15,max,Máxima Diária,63,2021
2021-04-01,NA,total,Total,42646,2021
2021-04-01,NA,mdu,Média dos Dias Úteis,1702,2021
2021-04-01,NA,msa,Média dos Sábados,1111,2021
2021-04-01,NA,mdo,Média dos Domingos,572,2021
2021-04-01,NA,max,Máxima Diária,1760,2021
2021-05-01,1,total,Total,15759,2021
2021-05-01,1,mdu,Média dos Dias Úteis,625,2021
