year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,952,1,metro,Azul,Blue
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,511,2,metro,Verde,Green
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,1106,3,metro,Vermelha,Red
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,249,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,11,15,metro,Prata,Silver
2018,entrance,2018-01-01,M<c3><a1>xima Di<c3><a1>ria,2816,99,metro,Sistema METRO,METRO System
2018,entrance,2018-02-01,Total,22657,1,metro,Azul,Blue
2018,entrance,2018-02-01,Total,11847,2,metro,Verde,Green
2018,entrance,2018-02-01,Total,26569,3,metro,Vermelha,Red
2018,entrance,2018-02-01,Total,5937,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-02-01,Total,207,15,metro,Prata,Silver
2018,entrance,2018-02-01,Total,67216,99,metro,Sistema METRO,METRO System
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,1017,1,metro,Azul,Blue
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,544,2,metro,Verde,Green
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,1162,3,metro,Vermelha,Red
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,269,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,11,15,metro,Prata,Silver
2018,entrance,2018-02-01,M<c3><a9>dia dos Dias <c3><9a>teis,3004,99,metro,Sistema METRO,METRO System
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,611,1,metro,Azul,Blue
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,282,2,metro,Verde,Green
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,746,3,metro,Vermelha,Red
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,161,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,5,15,metro,Prata,Silver
2018,entrance,2018-02-01,M<c3><a9>dia dos S<c3><a1>bados,1800,99,metro,Sistema METRO,METRO System
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,335,1,metro,Azul,Blue
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,180,2,metro,Verde,Green
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,460,3,metro,Vermelha,Red
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,72,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,NA,15,metro,Prata,Silver
2018,entrance,2018-02-01,M<c3><a9>dia dos Domingos,1048,99,metro,Sistema METRO,METRO System
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,1071,1,metro,Azul,Blue
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,583,2,metro,Verde,Green
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,1222,3,metro,Vermelha,Red
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,288,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,12,15,metro,Prata,Silver
2018,entrance,2018-02-01,M<c3><a1>xima Di<c3><a1>ria,3165,99,metro,Sistema METRO,METRO System
2018,entrance,NA,Total,26821,1,metro,Azul,Blue
2018,entrance,NA,Total,13985,2,metro,Verde,Green
2018,entrance,NA,Total,31287,3,metro,Vermelha,Red
2018,entrance,NA,Total,7331,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,NA,Total,236,15,metro,Prata,Silver
2018,entrance,NA,Total,79660,99,metro,Sistema METRO,METRO System
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,1074,1,metro,Azul,Blue
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,571,2,metro,Verde,Green
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,1232,3,metro,Vermelha,Red
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,295,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,12,15,metro,Prata,Silver
2018,entrance,NA,M<c3><a9>dia dos Dias <c3><9a>teis,3183,99,metro,Sistema METRO,METRO System
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,557,1,metro,Azul,Blue
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,241,2,metro,Verde,Green
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,674,3,metro,Vermelha,Red
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,160,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,2,15,metro,Prata,Silver
2018,entrance,NA,M<c3><a9>dia dos S<c3><a1>bados,1632,99,metro,Sistema METRO,METRO System
2018,entrance,NA,M<c3><a9>dia dos Domingos,299,1,metro,Azul,Blue
2018,entrance,NA,M<c3><a9>dia dos Domingos,161,2,metro,Verde,Green
2018,entrance,NA,M<c3><a9>dia dos Domingos,417,3,metro,Vermelha,Red
2018,entrance,NA,M<c3><a9>dia dos Domingos,64,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,NA,M<c3><a9>dia dos Domingos,NA,15,metro,Prata,Silver
2018,entrance,NA,M<c3><a9>dia dos Domingos,941,99,metro,Sistema METRO,METRO System
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,1096,1,metro,Azul,Blue
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,598,2,metro,Verde,Green
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,1270,3,metro,Vermelha,Red
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,305,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,NA,M<c3><a1>xima Di<c3><a1>ria,12,15,metro,Prata,Silver
