year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2016,entrance,2016-07-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-07-01,Média dos Domingos,967,99,metro,Sistema METRO,METRO System
2016,entrance,2016-07-01,Máxima Diária,987,1,metro,Azul,Blue
2016,entrance,2016-07-01,Máxima Diária,507,2,metro,Verde,Green
2016,entrance,2016-07-01,Máxima Diária,1142,3,metro,Vermelha,Red
2016,entrance,2016-07-01,Máxima Diária,260,5,metro,Lilás,Lilac
2016,entrance,2016-07-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-07-01,Máxima Diária,2897,99,metro,Sistema METRO,METRO System
2016,entrance,2016-08-01,Total,27380,1,metro,Azul,Blue
2016,entrance,2016-08-01,Total,13621,2,metro,Verde,Green
2016,entrance,2016-08-01,Total,31798,3,metro,Vermelha,Red
2016,entrance,2016-08-01,Total,6904,5,metro,Lilás,Lilac
2016,entrance,2016-08-01,Total,227,15,metro,Prata,Silver
2016,entrance,2016-08-01,Total,79930,99,metro,Sistema METRO,METRO System
2016,entrance,2016-08-01,Média dos Dias Úteis,1037,1,metro,Azul,Blue
2016,entrance,2016-08-01,Média dos Dias Úteis,529,2,metro,Verde,Green
2016,entrance,2016-08-01,Média dos Dias Úteis,1191,3,metro,Vermelha,Red
2016,entrance,2016-08-01,Média dos Dias Úteis,260,5,metro,Lilás,Lilac
2016,entrance,2016-08-01,Média dos Dias Úteis,9,15,metro,Prata,Silver
2016,entrance,2016-08-01,Média dos Dias Úteis,3026,99,metro,Sistema METRO,METRO System
2016,entrance,2016-08-01,Média dos Sábados,573,1,metro,Azul,Blue
2016,entrance,2016-08-01,Média dos Sábados,232,2,metro,Verde,Green
2016,entrance,2016-08-01,Média dos Sábados,699,3,metro,Vermelha,Red
2016,entrance,2016-08-01,Média dos Sábados,158,5,metro,Lilás,Lilac
2016,entrance,2016-08-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-08-01,Média dos Sábados,1664,99,metro,Sistema METRO,METRO System
2016,entrance,2016-08-01,Média dos Domingos,307,1,metro,Azul,Blue
2016,entrance,2016-08-01,Média dos Domingos,134,2,metro,Verde,Green
2016,entrance,2016-08-01,Média dos Domingos,401,3,metro,Vermelha,Red
2016,entrance,2016-08-01,Média dos Domingos,73,5,metro,Lilás,Lilac
2016,entrance,2016-08-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-08-01,Média dos Domingos,917,99,metro,Sistema METRO,METRO System
2016,entrance,2016-08-01,Máxima Diária,1082,1,metro,Azul,Blue
2016,entrance,2016-08-01,Máxima Diária,547,2,metro,Verde,Green
2016,entrance,2016-08-01,Máxima Diária,1246,3,metro,Vermelha,Red
2016,entrance,2016-08-01,Máxima Diária,269,5,metro,Lilás,Lilac
2016,entrance,2016-08-01,Máxima Diária,11,15,metro,Prata,Silver
2016,entrance,2016-08-01,Máxima Diária,3140,99,metro,Sistema METRO,METRO System
2016,entrance,2016-09-01,Total,26297,1,metro,Azul,Blue
2016,entrance,2016-09-01,Total,12861,2,metro,Verde,Green
2016,entrance,2016-09-01,Total,30224,3,metro,Vermelha,Red
2016,entrance,2016-09-01,Total,6644,5,metro,Lilás,Lilac
2016,entrance,2016-09-01,Total,196,15,metro,Prata,Silver
2016,entrance,2016-09-01,Total,76222,99,metro,Sistema METRO,METRO System
2016,entrance,2016-09-01,Média dos Dias Úteis,1063,1,metro,Azul,Blue
2016,entrance,2016-09-01,Média dos Dias Úteis,532,2,metro,Verde,Green
2016,entrance,2016-09-01,Média dos Dias Úteis,1209,3,metro,Vermelha,Red
2016,entrance,2016-09-01,Média dos Dias Úteis,266,5,metro,Lilás,Lilac
2016,entrance,2016-09-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-09-01,Média dos Dias Úteis,3079,99,metro,Sistema METRO,METRO System
2016,entrance,2016-09-01,Média dos Sábados,589,1,metro,Azul,Blue
2016,entrance,2016-09-01,Média dos Sábados,234,2,metro,Verde,Green
2016,entrance,2016-09-01,Média dos Sábados,692,3,metro,Vermelha,Red
2016,entrance,2016-09-01,Média dos Sábados,158,5,metro,Lilás,Lilac
2016,entrance,2016-09-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-09-01,Média dos Sábados,1676,99,metro,Sistema METRO,METRO System
2016,entrance,2016-09-01,Média dos Domingos,321,1,metro,Azul,Blue
2016,entrance,2016-09-01,Média dos Domingos,147,2,metro,Verde,Green
2016,entrance,2016-09-01,Média dos Domingos,404,3,metro,Vermelha,Red
2016,entrance,2016-09-01,Média dos Domingos,81,5,metro,Lilás,Lilac
2016,entrance,2016-09-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-09-01,Média dos Domingos,954,99,metro,Sistema METRO,METRO System
2016,entrance,2016-09-01,Máxima Diária,1099,1,metro,Azul,Blue
2016,entrance,2016-09-01,Máxima Diária,548,2,metro,Verde,Green
2016,entrance,2016-09-01,Máxima Diária,1231,3,metro,Vermelha,Red
2016,entrance,2016-09-01,Máxima Diária,275,5,metro,Lilás,Lilac
2016,entrance,2016-09-01,Máxima Diária,10,15,metro,Prata,Silver
2016,entrance,2016-09-01,Máxima Diária,3149,99,metro,Sistema METRO,METRO System
2016,entrance,2016-10-01,Total,25965,1,metro,Azul,Blue
2016,entrance,2016-10-01,Total,12697,2,metro,Verde,Green
2016,entrance,2016-10-01,Total,30098,3,metro,Vermelha,Red
2016,entrance,2016-10-01,Total,6600,5,metro,Lilás,Lilac
2016,entrance,2016-10-01,Total,181,15,metro,Prata,Silver
2016,entrance,2016-10-01,Total,75541,99,metro,Sistema METRO,METRO System
2016,entrance,2016-10-01,Média dos Dias Úteis,1057,1,metro,Azul,Blue
2016,entrance,2016-10-01,Média dos Dias Úteis,533,2,metro,Verde,Green
2016,entrance,2016-10-01,Média dos Dias Úteis,1203,3,metro,Vermelha,Red
2016,entrance,2016-10-01,Média dos Dias Úteis,264,5,metro,Lilás,Lilac
2016,entrance,2016-10-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-10-01,Média dos Dias Úteis,3065,99,metro,Sistema METRO,METRO System
2016,entrance,2016-10-01,Média dos Sábados,580,1,metro,Azul,Blue
2016,entrance,2016-10-01,Média dos Sábados,231,2,metro,Verde,Green
2016,entrance,2016-10-01,Média dos Sábados,692,3,metro,Vermelha,Red
2016,entrance,2016-10-01,Média dos Sábados,159,5,metro,Lilás,Lilac
2016,entrance,2016-10-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-10-01,Média dos Sábados,1665,99,metro,Sistema METRO,METRO System
2016,entrance,2016-10-01,Média dos Domingos,314,1,metro,Azul,Blue
2016,entrance,2016-10-01,Média dos Domingos,143,2,metro,Verde,Green
2016,entrance,2016-10-01,Média dos Domingos,424,3,metro,Vermelha,Red
2016,entrance,2016-10-01,Média dos Domingos,82,5,metro,Lilás,Lilac
2016,entrance,2016-10-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-10-01,Média dos Domingos,965,99,metro,Sistema METRO,METRO System
2016,entrance,2016-10-01,Máxima Diária,1092,1,metro,Azul,Blue
2016,entrance,2016-10-01,Máxima Diária,548,2,metro,Verde,Green
2016,entrance,2016-10-01,Máxima Diária,1253,3,metro,Vermelha,Red
2016,entrance,2016-10-01,Máxima Diária,279,5,metro,Lilás,Lilac
2016,entrance,2016-10-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-10-01,Máxima Diária,3179,99,metro,Sistema METRO,METRO System
2016,entrance,2016-11-01,Total,25542,1,metro,Azul,Blue
2016,entrance,2016-11-01,Total,12373,2,metro,Verde,Green
2016,entrance,2016-11-01,Total,29277,3,metro,Vermelha,Red
2016,entrance,2016-11-01,Total,6460,5,metro,Lilás,Lilac
2016,entrance,2016-11-01,Total,198,15,metro,Prata,Silver
2016,entrance,2016-11-01,Total,73850,99,metro,Sistema METRO,METRO System
2016,entrance,2016-11-01,Média dos Dias Úteis,1073,1,metro,Azul,Blue
2016,entrance,2016-11-01,Média dos Dias Úteis,538,2,metro,Verde,Green
2016,entrance,2016-11-01,Média dos Dias Úteis,1208,3,metro,Vermelha,Red
2016,entrance,2016-11-01,Média dos Dias Úteis,268,5,metro,Lilás,Lilac
2016,entrance,2016-11-01,Média dos Dias Úteis,9,15,metro,Prata,Silver
2016,entrance,2016-11-01,Média dos Dias Úteis,3095,99,metro,Sistema METRO,METRO System
2016,entrance,2016-11-01,Média dos Sábados,605,1,metro,Azul,Blue
2016,entrance,2016-11-01,Média dos Sábados,233,2,metro,Verde,Green
2016,entrance,2016-11-01,Média dos Sábados,716,3,metro,Vermelha,Red
2016,entrance,2016-11-01,Média dos Sábados,162,5,metro,Lilás,Lilac
2016,entrance,2016-11-01,Média dos Sábados,4,15,metro,Prata,Silver
2016,entrance,2016-11-01,Média dos Sábados,1721,99,metro,Sistema METRO,METRO System
2016,entrance,2016-11-01,Média dos Domingos,329,1,metro,Azul,Blue
2016,entrance,2016-11-01,Média dos Domingos,149,2,metro,Verde,Green
2016,entrance,2016-11-01,Média dos Domingos,429,3,metro,Vermelha,Red
2016,entrance,2016-11-01,Média dos Domingos,86,5,metro,Lilás,Lilac
2016,entrance,2016-11-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-11-01,Média dos Domingos,993,99,metro,Sistema METRO,METRO System
2016,entrance,2016-11-01,Máxima Diária,1113,1,metro,Azul,Blue
2016,entrance,2016-11-01,Máxima Diária,551,2,metro,Verde,Green
2016,entrance,2016-11-01,Máxima Diária,1251,3,metro,Vermelha,Red
2016,entrance,2016-11-01,Máxima Diária,283,5,metro,Lilás,Lilac
2016,entrance,2016-11-01,Máxima Diária,10,15,metro,Prata,Silver
2016,entrance,2016-11-01,Máxima Diária,3208,99,metro,Sistema METRO,METRO System
2016,entrance,2016-12-01,Total,24820,1,metro,Azul,Blue
2016,entrance,2016-12-01,Total,11721,2,metro,Verde,Green
2016,entrance,2016-12-01,Total,29108,3,metro,Vermelha,Red
2016,entrance,2016-12-01,Total,6484,5,metro,Lilás,Lilac
2016,entrance,2016-12-01,Total,203,15,metro,Prata,Silver
2016,entrance,2016-12-01,Total,72336,99,metro,Sistema METRO,METRO System
2016,entrance,2016-12-01,Média dos Dias Úteis,986,1,metro,Azul,Blue
2016,entrance,2016-12-01,Média dos Dias Úteis,485,2,metro,Verde,Green
2016,entrance,2016-12-01,Média dos Dias Úteis,1138,3,metro,Vermelha,Red
2016,entrance,2016-12-01,Média dos Dias Úteis,252,5,metro,Lilás,Lilac
2016,entrance,2016-12-01,Média dos Dias Úteis,9,15,metro,Prata,Silver
2016,entrance,2016-12-01,Média dos Dias Úteis,2869,99,metro,Sistema METRO,METRO System
2016,entrance,2016-12-01,Média dos Sábados,651,1,metro,Azul,Blue
2016,entrance,2016-12-01,Média dos Sábados,245,2,metro,Verde,Green
2016,entrance,2016-12-01,Média dos Sábados,790,3,metro,Vermelha,Red
2016,entrance,2016-12-01,Média dos Sábados,180,5,metro,Lilás,Lilac
