date,line_number,metric_abb,metric,value,year
2020-11-01,NA,total,Total,36589,2020
2020-11-01,NA,mdu,Média dos Dias Úteis,1478,2020
2020-11-01,NA,msa,Média dos Sábados,979,2020
2020-11-01,NA,mdo,Média dos Domingos,521,2020
2020-11-01,NA,max,Máxima Diária,1549,2020
2020-12-01,1,total,Total,12855,2020
2020-12-01,1,mdu,Média dos Dias Úteis,514,2020
2020-12-01,1,msa,Média dos Sábados,328,2020
2020-12-01,1,mdo,Média dos Domingos,173,2020
2020-12-01,1,max,Máxima Diária,557,2020
2020-12-01,2,total,Total,6482,2020
2020-12-01,2,mdu,Média dos Dias Úteis,267,2020
2020-12-01,2,msa,Média dos Sábados,139,2020
2020-12-01,2,mdo,Média dos Domingos,81,2020
2020-12-01,2,max,Máxima Diária,288,2020
2020-12-01,3,total,Total,16328,2020
2020-12-01,3,mdu,Média dos Dias Úteis,647,2020
2020-12-01,3,msa,Média dos Sábados,423,2020
2020-12-01,3,mdo,Média dos Domingos,235,2020
2020-12-01,3,max,Máxima Diária,719,2020
2020-12-01,15,total,Total,1009,2020
2020-12-01,15,mdu,Média dos Dias Úteis,40,2020
2020-12-01,15,msa,Média dos Sábados,26,2020
2020-12-01,15,mdo,Média dos Domingos,14,2020
2020-12-01,15,max,Máxima Diária,44,2020
2020-12-01,NA,total,Total,36675,2020
2020-12-01,NA,mdu,Média dos Dias Úteis,1467,2020
2020-12-01,NA,msa,Média dos Sábados,916,2020
2020-12-01,NA,mdo,Média dos Domingos,503,2020
2020-12-01,NA,max,Máxima Diária,1607,2020
2021-01-01,1,total,Total,11572,2021
2021-01-01,1,mdu,Média dos Dias Úteis,483,2021
2021-01-01,1,msa,Média dos Sábados,263,2021
2021-01-01,1,mdo,Média dos Domingos,157,2021
2021-01-01,1,max,Máxima Diária,512,2021
2021-01-01,2,total,Total,6058,2021
2021-01-01,2,mdu,Média dos Dias Úteis,261,2021
2021-01-01,2,msa,Média dos Sábados,119,2021
2021-01-01,2,mdo,Média dos Domingos,73,2021
2021-01-01,2,max,Máxima Diária,275,2021
2021-01-01,3,total,Total,14433,2021
2021-01-01,3,mdu,Média dos Dias Úteis,601,2021
2021-01-01,3,msa,Média dos Sábados,329,2021
2021-01-01,3,mdo,Média dos Domingos,197,2021
2021-01-01,3,max,Máxima Diária,639,2021
2021-01-01,15,total,Total,932,2021
2021-01-01,15,mdu,Média dos Dias Úteis,39,2021
2021-01-01,15,msa,Média dos Sábados,21,2021
2021-01-01,15,mdo,Média dos Domingos,12,2021
2021-01-01,15,max,Máxima Diária,42,2021
2021-01-01,NA,total,Total,34018,2021
2021-01-01,NA,mdu,Média dos Dias Úteis,1464,2021
2021-01-01,NA,msa,Média dos Sábados,850,2021
2021-01-01,NA,mdo,Média dos Domingos,463,2021
2021-01-01,NA,max,Máxima Diária,1506,2021
2021-02-01,1,total,Total,11870,2021
2021-02-01,1,mdu,Média dos Dias Úteis,509,2021
2021-02-01,1,msa,Média dos Sábados,304,2021
2021-02-01,1,mdo,Média dos Domingos,158,2021
2021-02-01,1,max,Máxima Diária,526,2021
2021-02-01,2,total,Total,6334,2021
2021-02-01,2,mdu,Média dos Dias Úteis,279,2021
2021-02-01,2,msa,Média dos Sábados,142,2021
2021-02-01,2,mdo,Média dos Domingos,80,2021
2021-02-01,2,max,Máxima Diária,286,2021
2021-02-01,3,total,Total,14848,2021
2021-02-01,3,mdu,Média dos Dias Úteis,635,2021
2021-02-01,3,msa,Média dos Sábados,379,2021
2021-02-01,3,mdo,Média dos Domingos,212,2021
2021-02-01,3,max,Máxima Diária,658,2021
2021-02-01,15,total,Total,966,2021
2021-02-01,15,mdu,Média dos Dias Úteis,41,2021
2021-02-01,15,msa,Média dos Sábados,24,2021
2021-02-01,15,mdo,Média dos Domingos,13,2021
2021-02-01,15,max,Máxima Diária,43,2021
2021-02-01,NA,total,Total,28951,2021
2021-02-01,NA,mdu,Média dos Dias Úteis,1175,2021
2021-02-01,NA,msa,Média dos Sábados,566,2021
2021-02-01,NA,mdo,Média dos Domingos,306,2021
2021-02-01,NA,max,Máxima Diária,1523,2021
2021-03-01,1,total,Total,9795,2021
2021-03-01,1,mdu,Média dos Dias Úteis,398,2021
2021-03-01,1,msa,Média dos Sábados,192,2021
2021-03-01,1,mdo,Média dos Domingos,100,2021
2021-03-01,1,max,Máxima Diária,531,2021
2021-03-01,2,total,Total,5570,2021
2021-03-01,2,mdu,Média dos Dias Úteis,230,2021
2021-03-01,2,msa,Média dos Sábados,99,2021
2021-03-01,2,mdo,Média dos Domingos,53,2021
2021-03-01,2,max,Máxima Diária,286,2021
2021-03-01,3,total,Total,12699,2021
2021-03-01,3,mdu,Média dos Dias Úteis,511,2021
2021-03-01,3,msa,Média dos Sábados,256,2021
2021-03-01,3,mdo,Média dos Domingos,144,2021
2021-03-01,3,max,Máxima Diária,664,2021
2021-03-01,15,total,Total,887,2021
2021-03-01,15,mdu,Média dos Dias Úteis,36,2021
2021-03-01,15,msa,Média dos Sábados,18,2021
2021-03-01,15,mdo,Média dos Domingos,10,2021
2021-03-01,15,max,Máxima Diária,43,2021
2021-03-01,NA,total,Total,26992,2021
2021-03-01,NA,mdu,Média dos Dias Úteis,1136,2021
2021-03-01,NA,msa,Média dos Sábados,595,2021
2021-03-01,NA,mdo,Média dos Domingos,333,2021
2021-03-01,NA,max,Máxima Diária,1304,2021
2021-04-01,1,total,Total,9192,2021
2021-04-01,1,mdu,Média dos Dias Úteis,388,2021
2021-04-01,1,msa,Média dos Sábados,204,2021
2021-04-01,1,mdo,Média dos Domingos,109,2021
2021-04-01,1,max,Máxima Diária,449,2021
2021-04-01,2,total,Total,5161,2021
2021-04-01,2,mdu,Média dos Dias Úteis,220,2021
2021-04-01,2,msa,Média dos Sábados,105,2021
2021-04-01,2,mdo,Média dos Domingos,61,2021
2021-04-01,2,max,Máxima Diária,250,2021
2021-04-01,3,total,Total,11808,2021
2021-04-01,3,mdu,Média dos Dias Úteis,493,2021
2021-04-01,3,msa,Média dos Sábados,266,2021
2021-04-01,3,mdo,Média dos Domingos,153,2021
2021-04-01,3,max,Máxima Diária,566,2021
2021-04-01,15,total,Total,831,2021
2021-04-01,15,mdu,Média dos Dias Úteis,35,2021
2021-04-01,15,msa,Média dos Sábados,19,2021
2021-04-01,15,mdo,Média dos Domingos,10,2021
2021-04-01,15,max,Máxima Diária,39,2021
2021-04-01,NA,total,Total,32897,2021
2021-04-01,NA,mdu,Média dos Dias Úteis,1322,2021
2021-04-01,NA,msa,Média dos Sábados,833,2021
