date,line_number,metric_abb,metric,value,year
2021-10-01,15,mdu,Average on Business Days,52,2021
2021-10-01,15,msa,Average on Saturdays,23,2021
2021-10-01,15,mdo,Average on Sundays,8,2021
2021-10-01,15,max,Daily Peak,55,2021
2021-10-01,99,total,Total,43193,2021
2021-10-01,99,mdu,Average on Business Days,1736,2021
2021-10-01,99,msa,Average on Saturdays,1084,2021
2021-10-01,99,mdo,Average on Sundays,559,2021
2021-10-01,99,max,Daily Peak,1835,2021
2021-11-01,1,total,Total,16326,2021
2021-11-01,1,mdu,Average on Business Days,662,2021
2021-11-01,1,msa,Average on Saturdays,443,2021
2021-11-01,1,mdo,Average on Sundays,241,2021
2021-11-01,1,max,Daily Peak,679,2021
2021-11-01,2,total,Total,8913,2021
2021-11-01,2,mdu,Average on Business Days,370,2021
2021-11-01,2,msa,Average on Saturdays,204,2021
2021-11-01,2,mdo,Average on Sundays,136,2021
2021-11-01,2,max,Daily Peak,382,2021
2021-11-01,3,total,Total,19133,2021
2021-11-01,3,mdu,Average on Business Days,773,2021
2021-11-01,3,msa,Average on Saturdays,517,2021
2021-11-01,3,mdo,Average on Sundays,298,2021
2021-11-01,3,max,Daily Peak,792,2021
2021-11-01,15,total,Total,1330,2021
2021-11-01,15,mdu,Average on Business Days,56,2021
2021-11-01,15,msa,Average on Saturdays,33,2021
2021-11-01,15,mdo,Average on Sundays,18,2021
2021-11-01,15,max,Daily Peak,57,2021
2021-11-01,99,total,Total,45702,2021
2021-11-01,99,mdu,Average on Business Days,1860,2021
2021-11-01,99,msa,Average on Saturdays,1197,2021
