date,line_number,metric_abb,metric,value,year
2018-12-01,4,mdu,Média dos Dias Úteis,23384.03333333334,2018
2018-12-01,4,msa,Média dos Sábados,13022.244444444445,2018
2018-12-01,4,total,Total,5192417,2018
2018-12-01,5,max,Máxima Diária,97437,2018
2018-12-01,5,mdo,Média dos Domingos,11122.400000000003,2018
2018-12-01,5,mdu,Média dos Dias Úteis,29848.69062499997,2018
2018-12-01,5,msa,Média dos Sábados,18808.512499999997,2018
2018-12-01,5,total,Total,12053260,2018
2019-01-01,4,max,Máxima Diária,51277,2019
2019-01-01,4,mdo,Média dos Domingos,6869.9722222222235,2019
2019-01-01,4,mdu,Média dos Dias Úteis,22041.454545454537,2019
2019-01-01,4,msa,Média dos Sábados,10823.861111111113,2019
2019-01-01,4,total,Total,5038337,2019
2019-01-01,5,max,Máxima Diária,88850,2019
2019-01-01,5,mdo,Média dos Domingos,9346.046875,2019
2019-01-01,5,mdu,Média dos Dias Úteis,27774.815340909063,2019
2019-01-01,5,msa,Média dos Sábados,15656.640625,2019
2019-01-01,5,total,Total,11482235,2019
2019-02-01,4,max,Máxima Diária,62351,2019
2019-02-01,4,mdo,Média dos Domingos,9976.888888888887,2019
2019-02-01,4,mdu,Média dos Dias Úteis,28046.68888888888,2019
2019-02-01,4,msa,Média dos Sábados,15300.111111111113,2019
2019-02-01,4,total,Total,5958376,2019
2019-02-01,5,max,Máxima Diária,101049,2019
2019-02-01,5,mdo,Média dos Domingos,10179.734375,2019
2019-02-01,5,mdu,Média dos Dias Úteis,33410.69687500004,2019
2019-02-01,5,msa,Média dos Sábados,18318.53125,2019
2019-02-01,5,total,Total,12515312,2019
2019-03-01,4,max,Máxima Diária,62242,2019
2019-03-01,4,mdo,Média dos Domingos,9574.222222222224,2019
2019-03-01,4,mdu,Média dos Dias Úteis,27997.09356725146,2019
2019-03-01,4,msa,Média dos Sábados,15985.266666666668,2019
2019-03-01,4,total,Total,6179291,2019
2019-03-01,5,max,Máxima Diária,103023,2019
2019-03-01,5,mdo,Média dos Domingos,10436.387499999999,2019
2019-03-01,5,mdu,Média dos Dias Úteis,34681.99013157897,2019
2019-03-01,5,msa,Média dos Sábados,18536.449999999993,2019
2019-03-01,5,total,Total,13331642,2019
2019-04-01,4,max,Máxima Diária,62297,2019
2019-04-01,4,mdo,Média dos Domingos,8124.166666666667,2019
2019-04-01,4,mdu,Média dos Dias Úteis,30246.54497354496,2019
2019-04-01,4,msa,Média dos Sábados,14162.611111111113,2019
