date,year,line_number,station_code,station_name,passengers
2020-01-04,2020,3,vtd,Vila Matilde,12
2020-01-04,2020,15,cad,Camilo Haddad,0.8
2020-01-04,2020,15,fjt,Fazenda da Juta,0.3
2020-01-04,2020,15,jpl,Jardim Planalto,1.3
2020-01-04,2020,15,mat,São Mateus,0.9
2020-01-04,2020,15,ort,Oratório,1.1
2020-01-04,2020,15,sap,Sapopemba,0.6
2020-01-04,2020,15,slu,São Lucas,1.1
2020-01-04,2020,15,vpm,Vila Prudente,3.9
2020-01-04,2020,15,vtl,Vila Tolstói,0.8
2020-01-04,2020,15,vun,Vila União,1
2020-01-05,2020,1,anr,Ana Rosa,5.7
2020-01-05,2020,1,arv,Praça da Árvore,4.8
2020-01-05,2020,1,bto,São Bento,6.5
2020-01-05,2020,1,cdu,Carandiru,3.3
2020-01-05,2020,1,con,Conceição,8.4
2020-01-05,2020,1,jab,Jabaquara,40.4
2020-01-05,2020,1,jpa,Jardim São Paulo-Ayrton Senna,2.7
2020-01-05,2020,1,jqm,São Joaquim,5.7
2020-01-05,2020,1,jud,São Judas,5.2
2020-01-05,2020,1,lib,Japão-Liberdade,13.1
2020-01-05,2020,1,luz,Luz,28
2020-01-05,2020,1,pig,Parada Inglesa,3.3
2020-01-05,2020,1,ppq,Armênia,7.1
2020-01-05,2020,1,pse,Sé,4.1
2020-01-05,2020,1,pso,Paraíso,5.4
2020-01-05,2020,1,san,Santana,15.1
2020-01-05,2020,1,sau,Saúde,9
2020-01-05,2020,1,scz,Santa Cruz,30.9
2020-01-05,2020,1,trd,Tiradentes,3.4
2020-01-05,2020,1,tte,Portuguesa-Tietê,40.8
2020-01-05,2020,1,tuc,Tucuruvi,17.5
2020-01-05,2020,1,vgo,Vergueiro,7.2
2020-01-05,2020,1,vmn,Vila Mariana,4.6
2020-01-05,2020,2,aip,Alto do Ipiranga,4.5
2020-01-05,2020,2,anr,Ana Rosa,2.3
2020-01-05,2020,2,bgd,Brigadeiro,17.7
2020-01-05,2020,2,ckb,Chácara Klabin,17.2
2020-01-05,2020,2,cli,Clínicas,3.9
2020-01-05,2020,2,cns,Consolação,42.3
2020-01-05,2020,2,img,Santos-Imigrantes,3.8
2020-01-05,2020,2,pso,Paraíso,2.6
2020-01-05,2020,2,sac,Sacomã,11
2020-01-05,2020,2,sum,Sumaré,2.4
2020-01-05,2020,2,tri,Trianon-Masp,17.1
2020-01-05,2020,2,tti,Tamanduateí,17.9
2020-01-05,2020,2,vmd,Vila Madalena,5.9
2020-01-05,2020,2,vpt,Vila Prudente,8.3
2020-01-05,2020,3,art,Artur Alvim,17.6
2020-01-05,2020,3,bas,Brás,25.6
2020-01-05,2020,3,bel,Belém,13.3
2020-01-05,2020,3,bfu,Palmeiras-Barra Funda,64.4
2020-01-05,2020,3,bre,Bresser-Moóca,9.8
2020-01-05,2020,3,car,Carrão,11.7
2020-01-05,2020,3,cec,Santa Cecília,9
2020-01-05,2020,3,deo,Marechal Deodoro,8
2020-01-05,2020,3,gbu,Anhangabaú,11.4
2020-01-05,2020,3,itq,Corinthians-Itaquera,30.7
2020-01-05,2020,3,pca,Patriarca,6
2020-01-05,2020,3,pds,Pedro II,8.8
2020-01-05,2020,3,pen,Penha,8.9
2020-01-05,2020,3,pse,Sé,6.2
2020-01-05,2020,3,rep,República,34.3
2020-01-05,2020,3,tat,Tatuapé,29.9
2020-01-05,2020,3,vpa,Guilhermina-Esperança,6
2020-01-05,2020,3,vtd,Vila Matilde,7.8
2020-01-05,2020,15,cad,Camilo Haddad,0.3
2020-01-05,2020,15,fjt,Fazenda da Juta,0.1
2020-01-05,2020,15,jpl,Jardim Planalto,0.6
2020-01-05,2020,15,mat,São Mateus,0.2
2020-01-05,2020,15,ort,Oratório,0.5
2020-01-05,2020,15,sap,Sapopemba,0.2
2020-01-05,2020,15,slu,São Lucas,0.5
2020-01-05,2020,15,vpm,Vila Prudente,1.4
2020-01-05,2020,15,vtl,Vila Tolstói,0.4
2020-01-05,2020,15,vun,Vila União,0.3
2020-01-06,2020,1,anr,Ana Rosa,18.2
2020-01-06,2020,1,arv,Praça da Árvore,13.7
2020-01-06,2020,1,bto,São Bento,68.2
2020-01-06,2020,1,cdu,Carandiru,12.6
2020-01-06,2020,1,con,Conceição,33.6
2020-01-06,2020,1,jab,Jabaquara,80.7
2020-01-06,2020,1,jpa,Jardim São Paulo-Ayrton Senna,11.7
2020-01-06,2020,1,jqm,São Joaquim,21.6
2020-01-06,2020,1,jud,São Judas,17.1
2020-01-06,2020,1,lib,Japão-Liberdade,20.7
2020-01-06,2020,1,luz,Luz,128.7
2020-01-06,2020,1,pig,Parada Inglesa,13
2020-01-06,2020,1,ppq,Armênia,25.1
2020-01-06,2020,1,pse,Sé,22.1
2020-01-06,2020,1,pso,Paraíso,20.9
2020-01-06,2020,1,san,Santana,53.2
2020-01-06,2020,1,sau,Saúde,30.6
2020-01-06,2020,1,scz,Santa Cruz,97.1
2020-01-06,2020,1,trd,Tiradentes,11.7
2020-01-06,2020,1,tte,Portuguesa-Tietê,63
2020-01-06,2020,1,tuc,Tucuruvi,60.8
2020-01-06,2020,1,vgo,Vergueiro,25.6
2020-01-06,2020,1,vmn,Vila Mariana,17.4
2020-01-06,2020,2,aip,Alto do Ipiranga,16.4
2020-01-06,2020,2,anr,Ana Rosa,10.2
2020-01-06,2020,2,bgd,Brigadeiro,52.9
2020-01-06,2020,2,ckb,Chácara Klabin,66.8
2020-01-06,2020,2,cli,Clínicas,21.5
