date,line_number,metric_abb,metric,value,year
2017-05-01,4,mdu,Average on Business Days,170224.18181818182,2017
2017-05-01,4,msa,Average on Saturdays,86032.25,2017
2017-05-01,4,total,Total,4281720,2017
2017-06-01,4,max,Daily Peak,175728,2017
2017-06-01,4,mdo,Average on Sundays,44396,2017
2017-06-01,4,mdu,Average on Business Days,163686.38095238095,2017
2017-06-01,4,msa,Average on Saturdays,79991.75,2017
2017-06-01,4,total,Total,3973425,2017
2017-07-01,4,max,Daily Peak,160474,2017
2017-07-01,4,mdo,Average on Sundays,35640.2,2017
2017-07-01,4,mdu,Average on Business Days,152278.42857142858,2017
2017-07-01,4,msa,Average on Saturdays,77551,2017
2017-07-01,4,total,Total,3763803,2017
2017-08-01,4,max,Daily Peak,174085,2017
2017-08-01,4,mdo,Average on Sundays,23205,2017
2017-08-01,4,mdu,Average on Business Days,167482.78260869565,2017
2017-08-01,4,msa,Average on Saturdays,80074,2017
2017-08-01,4,total,Total,4265220,2017
2017-09-01,4,max,Daily Peak,174963,2017
2017-09-01,4,mdo,Average on Sundays,34219.5,2017
2017-09-01,4,mdu,Average on Business Days,168029.15,2017
2017-09-01,4,msa,Average on Saturdays,78751,2017
2017-09-01,4,total,Total,3931020,2017
2017-10-01,4,max,Daily Peak,182416,2017
2017-10-01,4,mdo,Average on Sundays,32460.8,2017
2017-10-01,4,mdu,Average on Business Days,168902.04761904763,2017
2017-10-01,4,msa,Average on Saturdays,79806.5,2017
2017-10-01,4,total,Total,4078733,2017
2017-11-01,4,max,Daily Peak,179308,2017
2017-11-01,4,mdo,Average on Sundays,35214,2017
2017-11-01,4,mdu,Average on Business Days,164237.55,2017
2017-11-01,4,msa,Average on Saturdays,79345.75,2017
2017-11-01,4,total,Total,3792598,2017
2017-12-01,4,max,Daily Peak,177068,2017
2017-12-01,4,mdo,Average on Sundays,33963.8,2017
2017-12-01,4,mdu,Average on Business Days,153054.45,2017
2017-12-01,4,msa,Average on Saturdays,77150.2,2017
2017-12-01,4,total,Total,3639293,2017
2018-01-01,4,max,Daily Peak,158963,2018
2018-01-01,4,mdo,Average on Sundays,33923.5,2018
2018-01-01,4,mdu,Average on Business Days,133188.45454545456,2018
2018-01-01,4,msa,Average on Saturdays,70225.75,2018
2018-01-01,4,total,Total,3373421,2018
2018-02-01,4,max,Daily Peak,196441,2018
2018-02-01,4,mdo,Average on Sundays,72880.75,2018
2018-02-01,4,mdu,Average on Business Days,176265.94444444444,2018
2018-02-01,4,msa,Average on Saturdays,136092.5,2018
2018-02-01,4,total,Total,4204266,2018
2018-03-01,4,max,Daily Peak,209410,2018
2018-03-01,4,mdo,Average on Sundays,52283.25,2018
2018-03-01,4,mdu,Average on Business Days,197861.7142857143,2018
2018-03-01,4,msa,Average on Saturdays,88587.8,2018
2018-03-01,4,total,Total,4855552,2018
2018-04-01,4,max,Daily Peak,210491,2018
2018-04-01,4,mdo,Average on Sundays,49834.4,2018
2018-04-01,4,mdu,Average on Business Days,197859.85714285713,2018
2018-04-01,4,msa,Average on Saturdays,91648.5,2018
2018-04-01,4,total,Total,4770823,2018
2018-05-01,4,max,Daily Peak,216423,2018
2018-05-01,4,mdo,Average on Sundays,65750.75,2018
2018-05-01,4,mdu,Average on Business Days,209263.33333333334,2018
2018-05-01,4,msa,Average on Saturdays,104701.75,2018
2018-05-01,4,total,Total,5208798,2018
2018-06-01,4,max,Daily Peak,214320,2018
2018-06-01,4,mdo,Average on Sundays,62935,2018
2018-06-01,4,mdu,Average on Business Days,197216.7142857143,2018
2018-06-01,4,msa,Average on Saturdays,96796,2018
2018-06-01,4,total,Total,4877271,2018
2018-07-01,4,max,Daily Peak,200730,2018
2018-07-01,4,mdo,Average on Sundays,62209.8,2018
2018-07-01,4,mdu,Average on Business Days,183809,2018
2018-07-01,4,msa,Average on Saturdays,98563,2018
2018-07-01,4,total,Total,4749099,2018
2018-08-01,4,max,Daily Peak,235799,2018
2018-08-01,4,mdo,Average on Sundays,62280.5,2018
2018-08-01,4,mdu,Average on Business Days,227728.47826086957,2018
2018-08-01,4,msa,Average on Saturdays,110104.75,2018
2018-08-01,4,total,Total,5927296,2018
2018-08-01,5,max,Daily Peak,321822,2018
2018-08-01,5,mdo,Average on Sundays,85497,2018
2018-08-01,5,mdu,Average on Business Days,308772,2018
2018-08-01,5,msa,Average on Saturdays,175560.5,2018
2018-08-01,5,total,Total,7219670,2018
2018-09-01,4,max,Daily Peak,237203,2018
2018-09-01,4,mdo,Average on Sundays,33106.6,2018
2018-09-01,4,mdu,Average on Business Days,228583.1052631579,2018
2018-09-01,4,msa,Average on Saturdays,118625.4,2018
2018-09-01,4,total,Total,5174732,2018
2018-09-01,5,max,Daily Peak,345035,2018
2018-09-01,5,mdo,Average on Sundays,92541.6,2018
2018-09-01,5,mdu,Average on Business Days,322641.2105263158,2018
2018-09-01,5,msa,Average on Saturdays,182231.8,2018
2018-09-01,5,total,Total,7631616,2018
2018-10-01,4,max,Daily Peak,237405,2018
2018-10-01,4,mdo,Average on Sundays,36262.25,2018
2018-10-01,4,mdu,Average on Business Days,226734.13636363635,2018
2018-10-01,4,msa,Average on Saturdays,106506,2018
2018-10-01,4,total,Total,5630477,2018
2018-10-01,5,max,Daily Peak,502485,2018
2018-10-01,5,mdo,Average on Sundays,131303.25,2018
2018-10-01,5,mdu,Average on Business Days,423779.04545454547,2018
2018-10-01,5,msa,Average on Saturdays,227249.75,2018
2018-10-01,5,total,Total,10896615,2018
2018-11-01,4,max,Daily Peak,259667,2018
2018-11-01,4,mdo,Average on Sundays,67816.75,2018
2018-11-01,4,mdu,Average on Business Days,225848.45,2018
2018-11-01,4,msa,Average on Saturdays,109952.5,2018
2018-11-01,4,total,Total,5382797,2018
2018-11-01,5,max,Daily Peak,551561,2018
2018-11-01,5,mdo,Average on Sundays,155714.75,2018
2018-11-01,5,mdu,Average on Business Days,489239.4,2018
2018-11-01,5,msa,Average on Saturdays,267857.25,2018
2018-11-01,5,total,Total,11833446,2018
2018-12-01,4,max,Daily Peak,255901,2018
2018-12-01,4,mdo,Average on Sundays,72678.2,2018
2018-12-01,4,mdu,Average on Business Days,210456.3,2018
2018-12-01,4,msa,Average on Saturdays,117200.2,2018
2018-12-01,4,total,Total,5192417,2018
2018-12-01,5,max,Daily Peak,559374,2018
2018-12-01,5,mdo,Average on Sundays,177958.4,2018
2018-12-01,5,mdu,Average on Business Days,477579.05,2018
2018-12-01,5,msa,Average on Saturdays,300936.2,2018
2018-12-01,5,total,Total,12053260,2018
2019-01-01,4,max,Daily Peak,229507,2019
2019-01-01,4,mdo,Average on Sundays,61829.75,2019
2019-01-01,4,mdu,Average on Business Days,198373.0909090909,2019
2019-01-01,4,msa,Average on Saturdays,97414.75,2019
2019-01-01,4,total,Total,5038337,2019
2019-01-01,5,max,Daily Peak,501872,2019
2019-01-01,5,mdo,Average on Sundays,149536.75,2019
2019-01-01,5,mdu,Average on Business Days,444397.04545454547,2019
2019-01-01,5,msa,Average on Saturdays,250506.25,2019
2019-01-01,5,total,Total,11482235,2019
2019-02-01,4,max,Daily Peak,269536,2019
2019-02-01,4,mdo,Average on Sundays,89792,2019
2019-02-01,4,mdu,Average on Business Days,252420.2,2019
2019-02-01,4,msa,Average on Saturdays,137701,2019
2019-02-01,4,total,Total,5958376,2019
2019-02-01,5,max,Daily Peak,565065,2019
2019-02-01,5,mdo,Average on Sundays,162875.75,2019
2019-02-01,5,mdu,Average on Business Days,534571.15,2019
2019-02-01,5,msa,Average on Saturdays,293096.5,2019
2019-02-01,5,total,Total,12515312,2019
2019-03-01,4,max,Daily Peak,279426,2019
2019-03-01,4,mdo,Average on Sundays,86168,2019
2019-03-01,4,mdu,Average on Business Days,251973.84210526315,2019
2019-03-01,4,msa,Average on Saturdays,143867.4,2019
2019-03-01,4,total,Total,6179291,2019
2019-03-01,5,max,Daily Peak,584536,2019
2019-03-01,5,mdo,Average on Sundays,166982.2,2019
2019-03-01,5,mdu,Average on Business Days,554911.8421052631,2019
2019-03-01,5,msa,Average on Saturdays,296583.2,2019
2019-03-01,5,total,Total,13331642,2019
2019-04-01,4,max,Daily Peak,279789,2019
2019-04-01,4,mdo,Average on Sundays,73117.5,2019
2019-04-01,4,mdu,Average on Business Days,272218.90476190473,2019
2019-04-01,4,msa,Average on Saturdays,127463.5,2019
2019-04-01,4,total,Total,6588631,2019
2019-04-01,5,max,Daily Peak,607416,2019
2019-04-01,5,mdo,Average on Sundays,166141.25,2019
2019-04-01,5,mdu,Average on Business Days,582159.6666666666,2019
2019-04-01,5,msa,Average on Saturdays,303652.25,2019
2019-04-01,5,total,Total,14284719,2019
2019-05-01,4,max,Daily Peak,293360,2019
2019-05-01,4,mdo,Average on Sundays,81270.25,2019
2019-05-01,4,mdu,Average on Business Days,274559.63636363635,2019
2019-05-01,4,msa,Average on Saturdays,129883.75,2019
2019-05-01,4,total,Total,6965737,2019
2019-05-01,5,max,Daily Peak,605861,2019
2019-05-01,5,mdo,Average on Sundays,171189,2019
2019-05-01,5,mdu,Average on Business Days,584106.4090909091,2019
2019-05-01,5,msa,Average on Saturdays,308826,2019
2019-05-01,5,total,Total,14799611,2019
2019-06-01,4,max,Daily Peak,277762,2019
2019-06-01,4,mdo,Average on Sundays,79465,2019
2019-06-01,4,mdu,Average on Business Days,256680.7894736842,2019
2019-06-01,4,msa,Average on Saturdays,127797.2,2019
2019-06-01,4,total,Total,5999187,2019
2019-06-01,5,max,Daily Peak,583446,2019
2019-06-01,5,mdo,Average on Sundays,164206.8,2019
2019-06-01,5,mdu,Average on Business Days,535743.7368421053,2019
2019-06-01,5,msa,Average on Saturdays,299639.6,2019
2019-06-01,5,total,Total,12703149,2019
2019-07-01,4,max,Daily Peak,255254,2019
2019-07-01,4,mdo,Average on Sundays,70600.5,2019
2019-07-01,4,mdu,Average on Business Days,228292,2019
2019-07-01,4,msa,Average on Saturdays,122383,2019
2019-07-01,4,total,Total,6022650,2019
2019-07-01,5,max,Daily Peak,545934,2019
2019-07-01,5,mdo,Average on Sundays,162915.5,2019
2019-07-01,5,mdu,Average on Business Days,503437.8695652174,2019
