date,year,line_number,station_code,station_name,passengers
2012-02-13,2012,4,NA,Luz,5314
2012-02-13,2012,4,NA,Paulista,24524
2012-02-13,2012,4,NA,Pinheiros,6519
2012-02-14,2012,4,NA,Butantã,49389
2012-02-14,2012,4,NA,Faria Lima,39420
2012-02-14,2012,4,NA,Luz,5542
2012-02-14,2012,4,NA,Paulista,25474
2012-02-14,2012,4,NA,Pinheiros,6913
2012-02-15,2012,4,NA,Butantã,49513
2012-02-15,2012,4,NA,Faria Lima,39283
2012-02-15,2012,4,NA,Luz,5593
2012-02-15,2012,4,NA,Paulista,25738
2012-02-15,2012,4,NA,Pinheiros,6952
2012-02-16,2012,4,NA,Butantã,50127
2012-02-16,2012,4,NA,Faria Lima,40713
2012-02-16,2012,4,NA,Luz,5527
2012-02-16,2012,4,NA,Paulista,25369
2012-02-16,2012,4,NA,Pinheiros,7449
2012-02-17,2012,4,NA,Butantã,51930
2012-02-17,2012,4,NA,Faria Lima,41423
2012-02-17,2012,4,NA,Luz,5591
2012-02-17,2012,4,NA,Paulista,24775
2012-02-17,2012,4,NA,Pinheiros,7172
2012-02-18,2012,4,NA,Butantã,21875
2012-02-18,2012,4,NA,Faria Lima,15463
2012-02-18,2012,4,NA,Luz,2744
2012-02-18,2012,4,NA,Paulista,6691
2012-02-18,2012,4,NA,Pinheiros,1398
2012-02-19,2012,4,NA,Butantã,11847
2012-02-19,2012,4,NA,Faria Lima,8108
2012-02-19,2012,4,NA,Luz,1048
2012-02-19,2012,4,NA,Paulista,2832
2012-02-19,2012,4,NA,Pinheiros,693
2012-02-20,2012,4,NA,Butantã,17644
2012-02-20,2012,4,NA,Faria Lima,12489
2012-02-20,2012,4,NA,Luz,2133
2012-02-20,2012,4,NA,Paulista,6289
2012-02-20,2012,4,NA,Pinheiros,1426
2012-02-21,2012,4,NA,Butantã,12087
2012-02-21,2012,4,NA,Faria Lima,8720
2012-02-21,2012,4,NA,Luz,1065
2012-02-21,2012,4,NA,Paulista,3864
2012-02-21,2012,4,NA,Pinheiros,936
2012-02-22,2012,4,NA,Butantã,32340
2012-02-22,2012,4,NA,Faria Lima,27015
2012-02-22,2012,4,NA,Luz,3583
2012-02-22,2012,4,NA,Paulista,16690
2012-02-22,2012,4,NA,Pinheiros,4877
2012-02-23,2012,4,NA,Butantã,45446
2012-02-23,2012,4,NA,Faria Lima,36820
2012-02-23,2012,4,NA,Luz,5122
2012-02-23,2012,4,NA,Paulista,24371
2012-02-23,2012,4,NA,Pinheiros,6682
2012-02-24,2012,4,NA,Butantã,47189
2012-02-24,2012,4,NA,Faria Lima,38565
2012-02-24,2012,4,NA,Luz,5519
2012-02-24,2012,4,NA,Paulista,24531
2012-02-24,2012,4,NA,Pinheiros,6706
2012-02-25,2012,4,NA,Butantã,24276
2012-02-25,2012,4,NA,Faria Lima,17052
2012-02-25,2012,4,NA,Luz,2946
2012-02-25,2012,4,NA,Paulista,8550
2012-02-25,2012,4,NA,Pinheiros,1640
2012-02-26,2012,4,NA,Butantã,13440
2012-02-26,2012,4,NA,Faria Lima,9574
2012-02-26,2012,4,NA,Luz,908
2012-02-26,2012,4,NA,Paulista,3855
2012-02-26,2012,4,NA,Pinheiros,882
2012-02-27,2012,4,NA,Butantã,51590
2012-02-27,2012,4,NA,Faria Lima,39016
2012-02-27,2012,4,NA,Luz,5407
2012-02-27,2012,4,NA,Paulista,25079
2012-02-27,2012,4,NA,Pinheiros,7097
